,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
94,201575,"Rush, Brandon",Brandon Rush,1,2008,2016,brandon_rush,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
95,202336,"Sanders, Larry",Larry Sanders,0,2010,2016,larry_sanders,0,,,,,Y
96,2449,"Scola, Luis",Luis Scola,0,2007,2016,luis_scola,0,,,,,Y
97,202338,"Seraphin, Kevin",Kevin Seraphin,1,2010,2016,kevin_seraphin,1610612754,Indiana,Pacers,IND,pacers,Y
98,201168,"Splitter, Tiago",Tiago Splitter,1,2010,2016,tiago_splitter,1610612755,Philadelphia,76ers,PHI,sixers,Y
99,203950,"Stokes, Jarnell",Jarnell Stokes,0,2014,2016,jarnell_stokes,0,,,,,Y
100,1627754,"Stone, Diamond",Diamond Stone,1,2016,2016,diamond_stone,1610612746,LA,Clippers,LAC,clippers,Y
101,201155,"Stuckey, Rodney",Rodney Stuckey,0,2007,2016,rodney_stuckey,0,,,,,Y
102,203096,"Sullinger, Jared",Jared Sullinger,0,2012,2016,jared_sullinger,0,,,,,Y
103,204002,"Tavares, Edy",Edy Tavares,1,2015,2016,edy_tavares,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
104,203138,"Thompson, Hollis",Hollis Thompson,0,2013,2016,hollis_thompson,0,,,,,Y
105,201977,"Thornton, Marcus",Marcus Thornton,0,2009,2016,marcus_thornton,0,,,,,Y
106,1627861,"Tobey, Mike",Mike Tobey,0,2016,2016,mike_tobey,0,,,,,Y
107,1626253,"Toupane, Axel",Axel Toupane,1,2015,2016,axel_toupane,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
108,2757,"Udrih, Beno",Beno Udrih,1,2004,2016,beno_udrih,1610612765,Detroit,Pistons,DET,pistons,Y
109,1627784,"Uthoff, Jarrod",Jarrod Uthoff,1,2016,2016,jarrod_uthoff,1610612742,Dallas,Mavericks,DAL,mavericks,Y
110,2760,"Varejao, Anderson",Anderson Varejao,0,2004,2016,anderson_varejao,0,,,,,Y
111,202349,"Vasquez, Greivis",Greivis Vasquez,0,2010,2016,greivis_vasquez,0,,,,,Y
112,2756,"Vujacic, Sasha",Sasha Vujacic,1,2004,2016,sasha_vujacic,1610612752,New York,Knicks,NYK,knicks,Y
113,201228,"Watson, C.J.",C.J. Watson,1,2007,2016,c.j._watson,1610612753,Orlando,Magic,ORL,magic,Y
114,203912,"Wilcox, CJ",CJ Wilcox,0,2014,2017,cj_wilcox,0,,,,,Y
115,1626210,"Williams, Alan",Alan Williams,1,2015,2017,alan_williams,1610612756,Phoenix,Suns,PHX,suns,Y
116,101114,"Williams, Deron",Deron Williams,1,2005,2016,deron_williams,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
117,202682,"Williams, Derrick",Derrick Williams,1,2011,2016,derrick_williams,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
118,202130,"Williams, Reggie",Reggie Williams,0,2009,2016,reggie_williams,0,,,,,Y
119,1627787,"Wiltjer, Kyle",Kyle Wiltjer,1,2016,2016,kyle_wiltjer,1610612745,Houston,Rockets,HOU,rockets,Y
120,203481,"Withey, Jeff",Jeff Withey,1,2013,2017,jeff_withey,1610612762,Utah,Jazz,UTA,jazz,Y
121,1626174,"Wood, Christian",Christian Wood,1,2015,2016,christian_wood,1610612766,Charlotte,Hornets,CHA,hornets,Y
122,1897,"World Peace, Metta",Metta World Peace,1,1999,2016,metta_world peace,1610612747,Los Angeles,Lakers,LAL,lakers,Y
123,203923,"Young, James",James Young,1,2014,2016,james_young,1610612738,Boston,Celtics,BOS,celtics,Y
124,1627757,"Zimmerman, Stephen",Stephen Zimmerman,1,2016,2016,stephen_zimmerman,1610612753,Orlando,Magic,ORL,magic,Y
